institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank
Long Island University,United States,2,76.3,41642.0,41642.0,52419.0,,,41642.0,2
Mercy University,United States,57,27.3,22106.0,22106.0,32391.0,,,22106.0,57
University of Mount Saint Vincent,United States,41,32.9,42740.0,42740.0,50617.0,,,42740.0,41
Nazareth University,United States,10,54.1,40880.0,40880.0,56140.0,,,40880.0,10
New York University,United States,22,40.2,60438.0,60438.0,79121.0,,,60438.0,22
Niagara University,United States,401,3.8,38135.0,38135.0,50174.0,,,38135.0,401
New York Institute of Technology,United States,72,22.8,44360.0,44360.0,53625.0,,,44360.0,72
Pace University,United States,10,54.1,51424.0,51424.0,68092.0,,,51424.0,10
Roberts Wesleyan University,United States,24,39.1,37504.0,37504.0,49621.0,,,37504.0,24
Rochester Institute of Technology,United States,72,22.8,57016.0,57016.0,71714.0,,,57016.0,72
University of Rochester,United States,60,26.4,64348.0,64348.0,82600.0,,,64348.0,60
St Bonaventure University,United States,401,7.1,40150.0,40150.0,55265.0,,,40150.0,401
St Lawrence University,United States,201,14.3,63870.0,63870.0,79665.0,,,63870.0,201
St. John Fisher University,United States,14,47.8,39666.0,39666.0,52514.0,,,39666.0,14
University at Albany,United States,301,12.5,10408.0,28998.0,28490.0,,,28998.0,301
Binghamton University,United States,401,5.0,10363.0,29453.0,29657.0,,,29453.0,401
University at Buffalo,United States,401,5.9,10782.0,30572.0,29043.0,,,30572.0,401
Stony Brook University,United States,40,33.2,10560.0,30350.0,29174.0,,,30350.0,40
SUNY Buffalo State University,United States,52,28.8,8486.0,18906.0,23171.0,,,18906.0,52
Empire State University,United States,52,28.8,7630.0,17540.0,18221.0,,,17540.0,52
Syracuse University,United States,10,54.1,63061.0,63061.0,80396.0,,,63061.0,10
Touro University,United States,57,27.3,21810.0,21810.0,37824.0,,,21810.0,57
Utica University,United States,61,26.1,24308.0,24308.0,36845.0,,,24308.0,61
Angelo State University,United States,52,28.8,8319.0,18399.0,21625.0,,,18399.0,52
Baylor University,United States,401,3.8,54844.0,54844.0,70130.0,,,54844.0,401
Dallas Baptist University,United States,201,14.3,38140.0,38140.0,49343.0,,,38140.0,201
University of Dallas,United States,401,2.3,50880.0,50880.0,64752.0,,,50880.0,401
Hardin-Simmons University,United States,6,66.7,31686.0,31686.0,45059.0,,,31686.0,6
Houston Christian University,United States,40,33.2,38100.0,38100.0,47605.0,,,38100.0,40
University of Houston-Clear Lake,United States,401,2.3,7746.0,21330.0,23788.0,,,21330.0,401
University of Houston-Downtown,United States,21,41.0,7708.0,17788.0,23017.0,,,17788.0,21
University of Houston-Victoria,United States,21,41.0,7499.0,17291.0,21179.0,,,17291.0,21
University of Houston,United States,401,5.9,9711.0,22191.0,25056.0,,,22191.0,401
University of the Incarnate Word,United States,201,13.1,35660.0,35660.0,45850.0,,,35660.0,201
Lamar University,United States,201,14.3,8690.0,18482.0,21626.0,,,18482.0,201
LeTourneau University,United States,11,52.8,35500.0,35500.0,48206.0,,,35500.0,11
Lubbock Christian University,United States,40,33.2,27298.0,27298.0,40493.0,,,27298.0,40
University of Mary Hardin-Baylor,United States,62,25.8,33150.0,33150.0,45235.0,,,33150.0,62
McMurry University,United States,57,27.3,31372.0,31372.0,43087.0,,,31372.0,57
Midwestern State University,United States,73,22.5,10310.0,12260.0,22411.0,,,12260.0,73
University of North Texas,United States,74,22.2,11164.0,21244.0,25470.0,,,21244.0,74
Rice University,United States,61,26.1,58128.0,58128.0,74110.0,,,58128.0,61
Saint Edward's University,United States,401,4.1,51384.0,51384.0,64975.0,,,51384.0,401
University of St Thomas,United States,301,11.0,33660.0,33660.0,44151.0,,,33660.0,301
Sam Houston State University,United States,52,28.8,9228.0,19020.0,24517.0,,,19020.0,52
Schreiner University,United States,61,26.1,37396.0,37396.0,46294.0,,,37396.0,61
St. Mary's University,United States,57,27.3,36242.0,36242.0,46368.0,,,36242.0,57
Southern Methodist University,United States,14,47.8,64460.0,64460.0,82532.0,,,64460.0,14
Southwestern University,United States,24,39.1,51058.0,51058.0,63645.0,,,51058.0,24
Stephen F Austin State University,United States,65,24.9,10600.0,20680.0,24231.0,,,20680.0,65
Texas State University,United States,52,28.8,11450.0,23210.0,26348.0,,,23210.0,52
Sul Ross State University,United States,52,28.8,7592.0,17384.0,23759.0,,,17384.0,52
Tarleton State University,United States,63,25.5,7878.0,17958.0,22981.0,,,17958.0,63
The University of Texas at Arlington,United States,38,33.8,11728.0,29660.0,25265.0,,,29660.0,38
The University of Texas at Austin,United States,38,33.8,11678.0,42778.0,29842.0,,,42778.0,38
The University of Texas at Dallas,United States,38,33.8,14564.0,40064.0,28210.0,,,40064.0,38
The University of Texas at El Paso,United States,38,33.8,9744.0,25512.0,19327.0,,,25512.0,38
The University of Texas at Tyler,United States,38,33.8,9920.0,25198.0,23669.0,,,25198.0,38
Texas Christian University,United States,401,6.2,57220.0,57220.0,72778.0,,,57220.0,401
Texas Lutheran University,United States,24,39.1,34920.0,34920.0,47548.0,,,34920.0,24
The University of Texas Permian Basin,United States,38,33.8,10904.0,23212.0,21727.0,,,23212.0,38
The University of Texas at San Antonio,United States,38,33.8,8991.0,21965.0,21474.0,,,21965.0,38
Texas Southern University,United States,24,39.1,9173.0,21773.0,24899.0,,,21773.0,24
Texas Tech University,United States,201,16.0,11852.0,24451.0,27472.0,,,24451.0,201
Texas Wesleyan University,United States,401,4.1,37934.0,37934.0,50619.0,,,37934.0,401
Texas Woman's University,United States,401,4.1,8648.0,18720.0,20399.0,,,18720.0,401
Trinity University,United States,6,66.7,51352.0,51352.0,65774.0,,,51352.0,6
Wayland Baptist University,United States,201,14.3,23186.0,23186.0,34762.0,,,23186.0,201
Strayer University-Texas,United States,401,2.9,13920.0,13920.0,23838.0,,,13920.0,401
University of North Texas at Dallas,United States,38,33.8,9590.0,22189.0,21003.0,,,22189.0,38
Barry University,United States,401,3.8,33450.0,33450.0,48300.0,,,33450.0,401
Lynn University,United States,10,54.1,42950.0,42950.0,60817.0,,,42950.0,10
University of Central Florida,United States,58,27.0,6368.0,22467.0,22819.0,,,22467.0,58
Edward Waters University,United States,201,16.0,14878.0,14878.0,26973.0,,,14878.0,201
Florida Atlantic University,United States,52,28.8,4879.0,17324.0,21054.0,,,17324.0,52
AdventHealth University,United States,401,4.1,20880.0,20880.0,38194.0,,,20880.0,401
Florida Institute of Technology,United States,72,22.8,44360.0,44360.0,60387.0,,,44360.0,72
Florida Memorial University,United States,401,7.4,19110.0,19110.0,31940.0,,,19110.0,401
Florida State University,United States,52,28.8,5656.0,18786.0,23683.0,,,18786.0,52
University of Florida,United States,58,27.0,6381.0,28659.0,21719.0,,,28659.0,58
Full Sail University,United States,401,2.9,26417.0,26417.0,39814.0,,,26417.0,401
Jacksonville University,United States,11,52.8,46180.0,46180.0,61414.0,,,46180.0,11
University of Miami,United States,70,23.4,59926.0,59926.0,77708.0,,,59926.0,70
University of North Florida,United States,58,27.0,6389.0,20793.0,20229.0,,,20793.0,58
Nova Southeastern University,United States,24,39.1,37080.0,37080.0,55647.0,,,37080.0,24
Saint Leo University,United States,10,54.1,28360.0,28360.0,41727.0,,,28360.0,10
University of South Florida,United States,58,27.0,6410.0,17324.0,22301.0,,,17324.0,58
St. Thomas University,United States,40,33.2,34770.0,34770.0,49762.0,,,34770.0,40
Stetson University,United States,40,33.2,55220.0,55220.0,69807.0,,,55220.0,40
Southeastern University,United States,24,39.1,31732.0,31732.0,43803.0,,,31732.0,24
The University of Tampa,United States,50,30.0,33424.0,33424.0,49841.0,,,33424.0,50
University of West Florida,United States,58,27.0,6360.0,19241.0,18504.0,,,19241.0,58
Everglades University,United States,401,6.2,20768.0,20768.0,36311.0,,,20768.0,401
Ave Maria University,United States,1,100.0,28222.0,28222.0,43220.0,,,28222.0,1
Ana G. Mendez University,United States,35,34.8,13575.0,13575.0,,,,13575.0,35
University of Florida-Online,United States,58,27.0,3876.0,16579.0,17036.0,,,16579.0,58
DeSales University,United States,10,54.1,44800.0,44800.0,59409.0,,,44800.0,10
Alvernia University,United States,10,54.1,42810.0,42810.0,54650.0,,,42810.0,10
Arcadia University,United States,1,100.0,48290.0,48290.0,61240.0,,,48290.0,1
Bucknell University,United States,11,52.8,64772.0,64772.0,79956.0,,,64772.0,11
Carlow University,United States,10,54.1,34502.0,34502.0,46864.0,,,34502.0,10
Carnegie Mellon University,United States,35,34.8,63829.0,63829.0,80514.0,,,63829.0,35
Chatham University,United States,201,14.9,43810.0,43810.0,56981.0,,,43810.0,201
Drexel University,United States,28,37.5,60663.0,60663.0,75167.0,,,60663.0,28
Duquesne University,United States,28,37.5,47146.0,47146.0,63042.0,,,47146.0,28
East Stroudsburg University of Pennsylvania,United States,13,48.4,11036.0,19002.0,24369.0,,,19002.0,13
Eastern University,United States,401,2.9,37420.0,37420.0,53293.0,,,37420.0,401
Gannon University,United States,401,3.8,37951.0,37951.0,51236.0,,,37951.0,401
Gwynedd Mercy University,United States,57,27.3,38310.0,38310.0,53359.0,,,38310.0,57
Holy Family University,United States,10,54.1,33968.0,33968.0,38965.0,,,33968.0,10
Immaculata University,United States,56,27.6,28550.0,28550.0,45416.0,,,28550.0,56
Indiana University of Pennsylvania-Main Campus,United States,13,48.4,11380.0,16297.0,26405.0,,,16297.0,13
King's College,United States,33,35.6,42600.0,42600.0,56991.0,,,42600.0,33
Kutztown University of Pennsylvania,United States,13,48.4,11230.0,16434.0,28876.0,,,16434.0,13
La Salle University,United States,10,54.1,35570.0,35570.0,45046.0,,,35570.0,10
Lehigh University,United States,39,33.5,62180.0,62180.0,77515.0,,,62180.0,39
Lincoln University,United States,6,66.7,12512.0,19384.0,27358.0,,,19384.0,6
Marywood University,United States,57,27.3,39570.0,39570.0,52673.0,,,39570.0,57
Mercyhurst University,United States,57,27.3,44510.0,44510.0,57948.0,,,44510.0,57
Messiah University,United States,401,6.2,40640.0,40640.0,53939.0,,,40640.0,401
Millersville University of Pennsylvania,United States,13,48.4,12262.0,16232.0,27086.0,,,16232.0,13
Misericordia University,United States,61,26.1,38370.0,38370.0,51023.0,,,38370.0,61
Moravian University,United States,57,27.3,52000.0,52000.0,64260.0,,,52000.0,57
Neumann University,United States,401,4.1,37300.0,37300.0,56670.0,,,37300.0,401
Pennsylvania State University-Penn State Altoona,United States,65,24.9,15944.0,26668.0,31725.0,,,26668.0,65
Pennsylvania State University-Penn State Berks,United States,65,24.9,15944.0,26668.0,31853.0,,,26668.0,65
Pennsylvania State University-Penn State Harrisburg,United States,65,24.9,15944.0,26668.0,32029.0,,,26668.0,65
Pennsylvania State University-Penn State Brandywine,United States,65,24.9,15180.0,25118.0,30201.0,,,25118.0,65
Pennsylvania State University-Main Campus,United States,65,24.9,20234.0,40188.0,39160.0,,,40188.0,65
Pennsylvania State University-Penn State Abington,United States,65,24.9,15240.0,25388.0,27516.0,,,25388.0,65
University of Pennsylvania,United States,13,48.4,66104.0,66104.0,85738.0,,,66104.0,13
University of Pittsburgh-Greensburg,United States,53,28.5,14630.0,26504.0,28514.0,,,26504.0,53
University of Pittsburgh-Johnstown,United States,53,28.5,14646.0,26520.0,28501.0,,,26520.0,53
University of Pittsburgh-Pittsburgh Campus,United States,53,28.5,21524.0,39890.0,36707.0,,,39890.0,53
Point Park University,United States,22,40.2,38160.0,38160.0,50133.0,,,38160.0,22
Robert Morris University,United States,301,9.2,34940.0,34940.0,51075.0,,,34940.0,301
Saint Francis University,United States,2,76.3,41720.0,41720.0,57515.0,,,41720.0,2
Saint Joseph's University,United States,401,4.1,51340.0,51340.0,65513.0,,,51340.0,401
University of Scranton,United States,21,41.0,52309.0,52309.0,67795.0,,,52309.0,21
Seton Hill University,United States,40,33.2,41414.0,41414.0,54634.0,,,41414.0,40
Shippensburg University of Pennsylvania,United States,13,48.4,13544.0,15798.0,29480.0,,,15798.0,13
Slippery Rock University of Pennsylvania,United States,13,48.4,10507.0,14615.0,24781.0,,,14615.0,13
Susquehanna University,United States,401,4.1,57400.0,57400.0,72563.0,,,57400.0,401
Temple University,United States,10,54.1,22082.0,37462.0,39799.0,,,37462.0,10
Villanova University,United States,56,27.6,64701.0,64701.0,80866.0,,,64701.0,56
Waynesburg University,United States,401,4.1,29460.0,29460.0,42526.0,,,29460.0,401
West Chester University of Pennsylvania,United States,13,48.4,10687.0,22511.0,27559.0,,,22511.0,13
Widener University,United States,301,8.0,53638.0,53638.0,68305.0,,,53638.0,301
Wilkes University,United States,10,54.1,42286.0,42286.0,56956.0,,,42286.0,10
Strayer University-Pennsylvania,United States,13,48.4,13920.0,13920.0,23838.0,,,13920.0,13
Pennsylvania State University-World Campus,United States,65,24.9,15204.0,15204.0,27938.0,,,15204.0,65
Commonwealth University of Pennsylvania,United States,13,48.4,11046.0,22870.0,25781.0,,,22870.0,13
Pennsylvania Western University,United States,65,24.9,11388.0,16006.0,27618.0,,,16006.0,65
Aurora University,United States,201,14.9,28220.0,28220.0,39232.0,,,28220.0,201
Bradley University,United States,10,54.1,39680.0,39680.0,52730.0,,,39680.0,10
Chicago State University,United States,52,28.8,12754.0,12754.0,30454.0,,,12754.0,52
University of Chicago,United States,9,56.5,66939.0,66939.0,86856.0,,,66939.0,9
DePaul University,United States,10,54.1,44460.0,44460.0,59467.0,,,44460.0,10
Elmhurst University,United States,57,27.3,41628.0,41628.0,51829.0,,,41628.0,57
Governors State University,United States,52,28.8,11320.0,11320.0,23076.0,,,11320.0,52
University of Illinois Chicago,United States,9,56.5,14338.0,29360.0,26998.0,,,29360.0,9
Benedictine University,United States,201,16.0,34290.0,34290.0,46548.0,,,34290.0,201
University of Illinois Urbana-Champaign,United States,27,37.9,16004.0,34501.0,32134.0,,,34501.0,27
Illinois Wesleyan University,United States,24,39.1,55704.0,55704.0,68399.0,,,55704.0,24
Illinois Institute of Technology,United States,8,59.5,51763.0,51763.0,67720.0,,,51763.0,8
Illinois State University,United States,52,28.8,16021.0,28086.0,32458.0,,,28086.0,52
Lewis University,United States,10,54.1,37882.0,37882.0,45843.0,,,37882.0,10
Loyola University Chicago,United States,9,56.5,51716.0,51716.0,64167.0,,,51716.0,9
McKendree University,United States,401,7.1,34070.0,34070.0,47121.0,,,34070.0,401
Millikin University,United States,56,27.6,26892.0,43670.0,41297.0,,,43670.0,56
National Louis University,United States,63,25.5,12345.0,12345.0,25350.0,,,12345.0,63
North Park University,United States,401,2.6,35325.0,35325.0,42040.0,,,35325.0,401
Northern Illinois University,United States,24,39.1,12700.0,12700.0,27214.0,,,12700.0,24
Northwestern University,United States,24,39.1,65997.0,65997.0,87804.0,,,65997.0,24
Northeastern Illinois University,United States,24,39.1,12383.0,22726.0,27208.0,,,22726.0,24
Olivet Nazarene University,United States,401,7.1,37940.0,37940.0,50557.0,,,37940.0,401
Quincy University,United States,61,26.1,35740.0,35740.0,45102.0,,,35740.0,61
Roosevelt University,United States,401,7.1,20280.0,20280.0,48426.0,,,20280.0,401
Dominican University,United States,7,60.4,37844.0,37844.0,44414.0,,,37844.0,7
University of St Francis,United States,301,11.0,37000.0,37000.0,45375.0,,,37000.0,301
Saint Xavier University,United States,401,2.9,36840.0,36840.0,42237.0,,,36840.0,401
University of Illinois Springfield,United States,151,17.9,12252.0,22017.0,23643.0,,,22017.0,151
Western Illinois University,United States,24,39.1,14952.0,14952.0,27828.0,,,14952.0,24
University of Akron Main Campus,United States,62,25.8,12799.0,17239.0,24555.0,,,17239.0,62
Ashland University,United States,2,76.3,28910.0,28910.0,40519.0,,,28910.0,2
Capital University,United States,56,27.6,41788.0,41788.0,54086.0,,,41788.0,56
Case Western Reserve University,United States,64,25.2,64671.0,64671.0,81533.0,,,64671.0,64
Cedarville University,United States,56,27.6,36078.0,36078.0,46994.0,,,36078.0,56
Central State University,United States,63,25.5,7824.0,9824.0,22435.0,,,9824.0,63
Cleveland State University,United States,73,22.5,12613.0,17973.0,26310.0,,,17973.0,73
University of Dayton,United States,401,5.9,47600.0,47600.0,64310.0,,,47600.0,401
Denison University,United States,39,33.5,64000.0,64000.0,76900.0,,,64000.0,39
The University of Findlay,United States,58,27.0,39646.0,39646.0,52096.0,,,39646.0,58
Franklin University,United States,39,33.5,9577.0,9577.0,29433.0,,,9577.0,39
John Carroll University,United States,1,100.0,49100.0,49100.0,62943.0,,,49100.0,1
Miami University-Oxford,United States,16,45.4,17809.0,40025.0,37218.0,,,40025.0,16
University of Mount Union,United States,401,5.9,35400.0,35400.0,46890.0,,,35400.0,401
Muskingum University,United States,31,36.2,31440.0,31440.0,44615.0,,,31440.0,31
Ohio Northern University,United States,24,39.1,37800.0,37800.0,52484.0,,,37800.0,24
Ohio State University-Main Campus,United States,52,28.8,12859.0,38365.0,29320.0,,,38365.0,52
Ohio Wesleyan University,United States,52,28.8,52357.0,52357.0,66399.0,,,52357.0,52
Otterbein University,United States,24,39.1,34899.0,34899.0,47865.0,,,34899.0,24
Shawnee State University,United States,73,22.5,9622.0,16157.0,22190.0,,,16157.0,73
Tiffin University,United States,201,16.2,32400.0,32400.0,45150.0,,,32400.0,201
University of Toledo,United States,29,37.2,12377.0,21737.0,26190.0,,,21737.0,29
Walsh University,United States,10,54.1,34595.0,34595.0,45817.0,,,34595.0,10
Wittenberg University,United States,39,33.5,44602.0,44602.0,56353.0,,,44602.0,39
Xavier University,United States,10,54.1,48125.0,48125.0,62293.0,,,48125.0,10
Youngstown State University,United States,52,28.8,10791.0,11151.0,20028.0,,,11151.0,52
Albany State University,United States,63,25.5,5934.0,16656.0,20574.0,,,16656.0,63
Point University,United States,39,33.5,22300.0,22300.0,34418.0,,,22300.0,39
Clark Atlanta University,United States,63,25.5,26446.0,26446.0,40924.0,,,26446.0,63
Clayton  State University,United States,63,25.5,5068.0,15790.0,17940.0,,,15790.0,63
Columbus State University,United States,7,60.4,5751.0,16805.0,19953.0,,,16805.0,7
Emory University,United States,57,27.3,60774.0,60774.0,78814.0,,,60774.0,57
Fort Valley State University,United States,52,28.8,5392.0,16114.0,20342.0,,,16114.0,52
Georgia Institute of Technology-Main Campus,United States,72,22.8,11764.0,32876.0,27797.0,,,32876.0,72
Georgia Southwestern State University,United States,24,39.1,4980.0,15702.0,19234.0,,,15702.0,24
Georgia College & State University,United States,52,28.8,8998.0,28178.0,27781.0,,,28178.0,52
Georgia Southern University,United States,24,39.1,5905.0,16959.0,24563.0,,,16959.0,24
Georgia State University,United States,52,28.8,8478.0,23709.0,26535.0,,,23709.0,52
University of Georgia,United States,58,27.0,11180.0,30220.0,27436.0,,,30220.0,58
Mercer University,United States,61,26.1,40890.0,40890.0,56494.0,,,40890.0,61
Oglethorpe University,United States,57,27.3,45806.0,45806.0,59320.0,,,45806.0,57
Piedmont University,United States,6,66.7,30680.0,30680.0,45359.0,,,30680.0,6
Reinhardt University,United States,1,100.0,28420.0,28420.0,45689.0,,,28420.0,1
Savannah State University,United States,63,25.5,5498.0,16218.0,17185.0,,,16218.0,63
Shorter University,United States,401,2.9,24044.0,24044.0,34985.0,,,24044.0,401
Valdosta State University,United States,63,25.5,6007.0,17062.0,20202.0,,,17062.0,63
University of West Georgia,United States,301,12.5,5971.0,17024.0,23504.0,,,17024.0,301
Augusta University,United States,401,2.9,8122.0,23500.0,22146.0,,,23500.0,401
Middle Georgia State University,United States,73,22.5,4432.0,14032.0,20189.0,,,14032.0,73
University of North Georgia,United States,21,41.0,5009.0,15441.0,18062.0,,,15441.0,21
Kennesaw State University,United States,65,24.9,5786.0,17040.0,24618.0,,,17040.0,65
Appalachian State University,United States,73,22.5,7541.0,24537.0,22654.0,,,24537.0,73
Campbell University,United States,11,52.8,40410.0,40410.0,58752.0,,,40410.0,11
Duke University,United States,28,37.5,65805.0,65805.0,82749.0,,,65805.0,28
East Carolina University,United States,7,60.4,7361.0,23638.0,23689.0,,,23638.0,7
Elizabeth City State University,United States,52,28.8,3412.0,7412.0,18837.0,,,7412.0,52
Elon University,United States,57,27.3,44536.0,44536.0,59369.0,,,44536.0,57
Fayetteville State University,United States,52,28.8,3969.0,7969.0,16098.0,,,7969.0,52
Gardner-Webb University,United States,45,31.5,33450.0,33450.0,48813.0,,,33450.0,45
High Point University,United States,39,33.5,44208.0,44208.0,61582.0,,,44208.0,39
Johnson C Smith University,United States,14,47.8,20480.0,20480.0,34228.0,,,20480.0,14
Lenoir-Rhyne University,United States,57,27.3,30900.0,30900.0,57649.0,,,30900.0,57
Methodist University,United States,40,33.2,39664.0,39664.0,53585.0,,,39664.0,40
University of Mount Olive,United States,54,28.2,25950.0,25950.0,35362.0,,,25950.0,54
North Carolina A & T State University,United States,63,25.5,6748.0,20408.0,19180.0,,,20408.0,63
University of North Carolina Asheville,United States,32,35.9,7461.0,24809.0,21061.0,,,24809.0,32
University of North Carolina at Chapel Hill,United States,32,35.9,8989.0,39330.0,25181.0,,,39330.0,32
University of North Carolina at Charlotte,United States,32,35.9,7214.0,21876.0,22034.0,,,21876.0,32
University of North Carolina at Greensboro,United States,32,35.9,7593.0,23339.0,19628.0,,,23339.0,32
North Carolina Wesleyan University,United States,24,39.1,35536.0,35536.0,48263.0,,,35536.0,24
University of North Carolina Wilmington,United States,32,35.9,7317.0,22985.0,25913.0,,,22985.0,32
University of North Carolina at Pembroke,United States,32,35.9,3571.0,7571.0,16854.0,,,7571.0,32
Queens University of Charlotte,United States,201,15.8,43285.0,43285.0,56944.0,,,43285.0,201
Wake Forest University,United States,401,0.8,64758.0,64758.0,82818.0,,,64758.0,401
Wingate University,United States,31,36.2,40196.0,40196.0,57780.0,,,40196.0,31
Winston-Salem State University,United States,63,25.5,6735.0,17391.0,22345.0,,,17391.0,63
Western Carolina University,United States,401,4.7,4532.0,8532.0,19057.0,,,8532.0,401
Andrews University,United States,401,3.8,33710.0,33710.0,43670.0,,,33710.0,401
Calvin University,United States,10,54.1,38670.0,38670.0,53286.0,,,38670.0,10
Central Michigan University,United States,73,22.5,14190.0,14190.0,26470.0,,,14190.0,73
Davenport University,United States,401,3.8,23324.0,23324.0,35864.0,,,23324.0,401
University of Detroit Mercy,United States,201,14.6,32300.0,32300.0,40069.0,,,32300.0,201
Eastern Michigan University,United States,73,22.5,15510.0,15510.0,28168.0,,,15510.0,73
Ferris State University,United States,52,28.8,13630.0,13630.0,26066.0,,,13630.0,52
Kettering University,United States,39,33.5,46380.0,46380.0,58610.0,,,46380.0,39
Cornerstone University,United States,40,33.2,29100.0,29100.0,40737.0,,,29100.0,40
Grand Valley State University,United States,63,25.5,14628.0,20820.0,26578.0,,,20820.0,63
Lake Superior State University,United States,63,25.5,14266.0,14266.0,25757.0,,,14266.0,63
Madonna University,United States,401,4.1,27360.0,27360.0,38809.0,,,27360.0,401
University of Michigan-Ann Arbor,United States,17,44.9,17228.0,58072.0,33345.0,,,58072.0,17
Michigan State University,United States,73,22.5,15988.0,43372.0,30528.0,,,43372.0,73
Michigan Technological University,United States,73,22.5,18392.0,41340.0,32550.0,,,41340.0,73
University of Michigan-Dearborn,United States,17,44.9,14944.0,31360.0,22435.0,,,31360.0,17
